SP;TRAT;H;SLA;LT;LDMC;N;P
RM;C;1.8;55.5804605;0.33;0.534;9.37;0.5
RM;C;1.7;47.97979798;0.354;0.563;7.27;0.35
RM;C;1.85;44.575875;0.431;0.598;7.27;0.39
RM;C;1.9;50.16424518;0.373;0.663;8.67;0.41
RM;C;2.5;42.68720327;0.313;0.563;10.63;0.5
RM;C;1.6;53.93696659;0.314;0.543;7.97;0.33
RM;C;1.9;53.90994542;0.402;0.493;9.37;0.4
RM;C;1.8;38.50077922;0.373;0.601;6.71;0.38
RM;C;1.8;44.37828054;0.337;0.59;8.95;0.4
RM;C;2.1;44.69553666;0.355;0.668;8.53;0.39
RM;NP;2.5;48.90986378;0.357;0.504;7.83;0.39
RM;NP;1.7;49.41630654;0.526;0.538;6.71;0.34
RM;NP;2;47.52592593;0.354;0.505;7.55;0.4
RM;NP;3;49.15949343;0.301;0.572;7.55;0.31
RM;NP;1.9;59.58987127;0.336;0.512;7.97;0.39
RM;NP;2.6;54.80925553;0.306;0.527;9.23;0.43
RM;NP;1.8;47.81285739;0.371;0.528;7.83;0.37
RM;NP;2.1;46.599836;0.384;0.599;7.27;0.34
RM;NP;1.8;49.77637022;0.578;0.543;7.55;0.39
RM;NP;1.78;49.24517304;0.525;0.503;7.83;0.35
RM;P;1.6;45.13359807;0.263;0.559;7.69;0.39
RM;P;1.9;49.56109726;0.35;0.673;9.23;0.45
RM;P;2.5;40.16879659;0.376;0.596;6.99;0.38
RM;P;2.3;43.45330535;0.371;0.633;9.65;0.45
RM;P;2.6;40.45594828;0.414;0.657;8.53;0.41
RM;P;1.9;45.89776675;0.349;0.595;7.13;0.38
RM;P;1.6;38.2041573;0.383;0.627;6.43;0.34
RM;P;1.8;43.15633304;0.357;0.694;6.57;0.41
RM;P;2;45.22691583;0.41;0.572;8.53;0.39
RM;P;2.8;;0.357;;7.41;0.4
RM;N;1.15;58.27804465;0.667;0.478;7.55;0.37
RM;N;2.5;48.00367386;0.286;0.563;8.81;0.38
RM;N;2.5;44.01981377;0.309;0.574;7.83;0.31
RM;N;2.7;44.47729263;0.348;0.595;9.65;0.42
RM;N;1.6;50.51715402;0.395;0.558;8.39;0.41
RM;N;2;59.67634456;0.417;0.605;8.39;0.3
RM;N;2.6;50.55019347;0.464;0.638;9.51;0.37
RM;N;1.5;63.72358854;0.248;0.542;9.65;0.39
RM;N;1.9;43.17124435;0.315;0.589;7.69;0.3
RM;N;1.8;45.02947424;0.283;0.569;7.41;0.32
RM;Ca;1.2;47.29600114;0.427;0.511;8.39;0.4
RM;Ca;2.5;46.75610766;0.371;0.521;8.25;0.38
RM;Ca;2.5;50.33131443;0.333;0.522;8.67;0.44
RM;Ca;1.7;52.50040467;0.282;0.518;8.39;0.38
RM;Ca;1.2;49.19941621;0.378;0.52;5.87;0.29
RM;Ca;2.8;45.9096241;0.316;0.525;5.73;0.29
RM;Ca;1.7;49.45241621;0.359;0.55;6.57;0.3
RM;Ca;2.5;57.58855058;0.34;0.659;8.81;0.38
RM;Ca;2.7;55.9494595;0.287;0.523;7.13;0.31
RM;Ca;2.7;58.08553742;0.326;0.517;7.83;0.4
BS;C;2.3;62.76365546;0.192;0.676;13.01;0.55
BS;C;2.5;61.36547085;0.224;0.646;9.51;0.46
BS;C;3.4;76.37654321;0.219;0.6;12.73;0.53
BS;C;6.2;71.65225564;0.198;0.642;9.65;0.4
BS;C;3.5;66.36445993;0.248;0.568;11.89;0.47
BS;C;2.1;68.93907392;0.192;0.647;11.89;0.43
BS;C;2.7;72.93962264;0.2;0.647;10.07;0.44
BS;C;2.6;68.16341991;0.191;0.662;12.31;0.53
BS;C;3.5;76.04204993;0.177;0.636;10.91;0.44
BS;C;1.35;64.5367287;0.241;0.6;10.63;0.47
BS;NP;4.2;47.2709205;0.184;0.653;9.65;0.44
BS;NP;2.2;111.3205128;0.178;0.593;10.35;0.76
BS;NP;2.5;55.51371807;0.22;0.851;10.63;0.58
BS;NP;3.8;72.9952919;0.201;0.551;9.65;0.7
